    | Name                                                 | Type             | Params
Epoch 35:  86%|████████▌ | 129/150 [00:29<00:04,  4.38it/s, loss=0.593, v_num=3l99]















Epoch 36:  90%|█████████ | 135/150 [00:30<00:03,  4.48it/s, loss=0.591, v_num=3l99]














Epoch 37:  80%|████████  | 120/150 [00:28<00:07,  4.22it/s, loss=0.582, v_num=3l99]















Epoch 38:  80%|████████  | 120/150 [00:28<00:07,  4.21it/s, loss=0.587, v_num=3l99]















Epoch 39:  82%|████████▏ | 123/150 [00:28<00:06,  4.24it/s, loss=0.573, v_num=3l99]















Epoch 40:  82%|████████▏ | 123/150 [00:28<00:06,  4.25it/s, loss=0.563, v_num=3l99]















Epoch 41:  85%|████████▍ | 127/150 [00:29<00:05,  4.32it/s, loss=0.575, v_num=3l99]















Epoch 42:  87%|████████▋ | 131/150 [00:29<00:04,  4.39it/s, loss=0.557, v_num=3l99]















Epoch 43:  87%|████████▋ | 130/150 [00:29<00:04,  4.38it/s, loss=0.551, v_num=3l99]















Epoch 44:  89%|████████▉ | 134/150 [00:30<00:03,  4.45it/s, loss=0.556, v_num=3l99]














Epoch 45:  80%|████████  | 120/150 [00:28<00:07,  4.22it/s, loss=0.546, v_num=3l99]















Epoch 46:  80%|████████  | 120/150 [00:28<00:07,  4.21it/s, loss=0.548, v_num=3l99]















Epoch 47:  82%|████████▏ | 123/150 [00:28<00:06,  4.25it/s, loss=0.537, v_num=3l99]















Epoch 48:  85%|████████▍ | 127/150 [00:29<00:05,  4.32it/s, loss=0.538, v_num=3l99]















Epoch 49:  85%|████████▍ | 127/150 [00:29<00:05,  4.33it/s, loss=0.539, v_num=3l99]















Epoch 50:  89%|████████▉ | 134/150 [00:29<00:03,  4.48it/s, loss=0.53, v_num=3l99]















Epoch 51:  90%|█████████ | 135/150 [00:30<00:03,  4.49it/s, loss=0.53, v_num=3l99]














Epoch 52:  81%|████████  | 121/150 [00:28<00:06,  4.23it/s, loss=0.523, v_num=3l99]















Epoch 53:  85%|████████▍ | 127/150 [00:29<00:05,  4.35it/s, loss=0.525, v_num=3l99]















Epoch 54:  85%|████████▌ | 128/150 [00:29<00:05,  4.36it/s, loss=0.556, v_num=3l99]















Epoch 55:  88%|████████▊ | 132/150 [00:29<00:04,  4.42it/s, loss=0.527, v_num=3l99]














Epoch 56:  80%|████████  | 120/150 [00:28<00:07,  4.23it/s, loss=0.519, v_num=3l99]















Epoch 57:  80%|████████  | 120/150 [00:28<00:07,  4.23it/s, loss=0.515, v_num=3l99]















Epoch 58:  86%|████████▌ | 129/150 [00:29<00:04,  4.41it/s, loss=0.507, v_num=3l99]















Epoch 59:  87%|████████▋ | 130/150 [00:29<00:04,  4.41it/s, loss=0.501, v_num=3l99]















Epoch 60:  91%|█████████▏| 137/150 [00:30<00:02,  4.54it/s, loss=0.506, v_num=3l99]














Epoch 61:  83%|████████▎ | 124/150 [00:28<00:06,  4.29it/s, loss=0.514, v_num=3l99]















Epoch 62:  83%|████████▎ | 125/150 [00:28<00:05,  4.32it/s, loss=0.51, v_num=3l99]















Epoch 63:  88%|████████▊ | 132/150 [00:29<00:04,  4.45it/s, loss=0.49, v_num=3l99]














